Name,Group,Institution,Field,Awards,CNS_total,CNS_avg_per_yr,CNS_years_covered,CNS_gap_years,NeuronNatNeuro_total,eLife_total,nonCNS_total,Lab_start_year,First_senior_paper,Career_stage,Count_source,CNS_2016,CNS_2017,CNS_2018,CNS_2019,CNS_2020,CNS_2021,CNS_2022,CNS_2023,CNS_2024,CNS_2025
Cagla Eroglu,HHMI,Duke University,Neuroscience (HHMI),,3,0.3,3,2018;2019;2020;2021;2022;2023;2024,3,0,41,,,established,person_cns(name),1,1,0,0,0,0,0,0,0,1
Amita Sehgal,HHMI,University of Pennsylvania,Neuroscience (HHMI),,3,0.3,3,2016;2017;2020;2022;2023;2024;2025,1,9,124,,,established,person_cns(name),0,0,1,1,0,1,0,0,0,0
Steve Flavell,HHMI,Massachusetts Institute of Technology,Neuroscience (HHMI),McKnight Scholar,3,0.3,2,2016;2017;2018;2020;2021;2022;2024;2025,0,3,17,,,established,person_cns(name),0,0,0,1,0,0,0,2,0,0
Kafui Dzirasa,HHMI,Duke University,Neuroscience (HHMI),,3,0.3,2,2016;2017;2019;2021;2022;2023;2024;2025,3,0,14,,,established,person_cns(name),0,0,1,0,2,0,0,0,0,0
Lisa Giocomo,HHMI,Stanford University,Neuroscience (HHMI),,3,0.3,2,2016;2017;2018;2020;2021;2022;2023;2025,8,1,33,,,established,person_cns(name),0,0,0,1,0,0,0,0,2,0
Huda Y. Zoghbi,HHMI,Baylor College of Medicine,Neuroscience (HHMI),,3,0.3,3,2016;2017;2019;2020;2023;2024;2025,11,12,65,,,established,person_cns(name),0,0,1,0,0,1,1,0,0,0
Kang Shen,HHMI,Stanford University,Neuroscience (HHMI),,3,0.3,3,2016;2017;2019;2021;2023;2024;2025,5,5,40,,,established,person_cns(affil),0,0,1,0,1,0,1,0,0,0
Li Ye,HHMI,Scripps Research,Neuroscience (HHMI),NIH DP2,3,0.3,2,2016;2017;2018;2019;2020;2021;2024;2025,1,0,8,,,established,person_cns(affil),0,0,0,0,0,0,2,1,0,0
Axel T. Brunger,HHMI,Stanford University,Neuroscience (HHMI),,3,0.3,3,2016;2018;2019;2020;2021;2023;2025,1,4,28,,,established,person_cns(name),0,1,0,0,0,0,1,0,1,0
Carlos D. Brody,HHMI,Princeton University,Neuroscience (HHMI),,3,0.3,2,2016;2017;2019;2020;2021;2022;2023;2024,3,5,30,,,established,person_cns(name),0,0,1,0,0,0,0,0,0,2
Ian Maze,HHMI,Icahn School of Medicine at Mount Sinai,Neuroscience (HHMI),,3,0.3,3,2016;2017;2018;2021;2022;2023;2024,1,0,24,,,established,person_cns(name),0,0,0,1,1,0,0,0,0,1
Viviana Gradinaru,HHMI,California Institute of Technology,Neuroscience (HHMI),,2,0.2,2,2016;2018;2019;2021;2022;2023;2024;2025,5,1,40,,,established,person_cns(name),0,1,0,0,1,0,0,0,0,0
Michael Rosbash,HHMI,Brandeis University,Neuroscience (HHMI),,2,0.2,1,2017;2018;2019;2020;2021;2022;2023;2024;2025,2,4,34,,,established,person_cns(name),2,0,0,0,0,0,0,0,0,0
Gwyneth Card,HHMI,Columbia University,Neuroscience (HHMI),,2,0.2,2,2016;2018;2019;2020;2021;2022;2024;2025,3,1,11,,,established,person_cns(name),0,1,0,0,0,0,0,1,0,0
Mehrdad Jazayeri,HHMI,Massachusetts Institute of Technology,Neuroscience (HHMI),McKnight Scholar,2,0.2,2,2016;2017;2018;2020;2021;2022;2023;2025,4,1,29,,,established,person_cns(name),0,0,0,1,0,0,0,0,1,0
Chenghua Gu,HHMI,Harvard Medical School,Neuroscience (HHMI),,2,0.2,2,2016;2017;2018;2019;2021;2022;2023;2024,4,2,14,,,established,person_cns(affil),0,0,0,0,1,0,0,0,0,1
Susan L. Ackerman,HHMI,"University of California, San Diego",Neuroscience (HHMI),Klingenstein-Simons,2,0.2,2,2016;2017;2019;2020;2021;2022;2023;2024,3,3,47,,,established,person_cns(name),0,0,1,0,0,0,0,0,0,1
Michael Brainard,HHMI,"University of California, San Francisco",Neuroscience (HHMI),,1,0.1,1,2016;2017;2018;2019;2020;2022;2023;2024;2025,1,5,15,,,established,person_cns(name),0,0,0,0,0,1,0,0,0,0
Loren L. Looger,HHMI,"University of California, San Diego",Neuroscience (HHMI),,1,0.1,1,2016;2017;2018;2019;2020;2021;2022;2024;2025,0,0,10,,,established,person_cns(name),0,0,0,0,0,0,0,1,0,0
Tirin Moore,HHMI,Stanford University,Neuroscience (HHMI),,1,0.1,1,2016;2017;2018;2019;2020;2021;2022;2023;2025,2,2,23,,,established,person_cns(affil),0,0,0,0,0,0,0,0,1,0
H. Robert Horvitz,HHMI,Massachusetts Institute of Technology,Neuroscience (HHMI),,1,0.1,1,2016;2017;2018;2019;2020;2022;2023;2024;2025,0,3,14,,,established,person_cns(name),0,0,0,0,0,1,0,0,0,0
Richard D. Palmiter,HHMI,University of Washington,Neuroscience (HHMI),,1,0.1,1,2016;2017;2019;2020;2021;2022;2023;2024;2025,5,2,25,,,established,person_cns(name),0,0,1,0,0,0,0,0,0,0
Chris Q. Doe,HHMI,University of Oregon,Neuroscience (HHMI),,1,0.1,1,2016;2017;2018;2019;2020;2022;2023;2024;2025,0,12,39,,,established,person_cns(name),0,0,0,0,0,1,0,0,0,0
Xinzhong Dong,HHMI,The Johns Hopkins University,Neuroscience (HHMI),,1,0.1,1,2016;2017;2018;2019;2020;2021;2022;2023;2024,6,1,33,,,established,person_cns(affil),0,0,0,0,0,0,0,0,0,1
Edwin R. Chapman,HHMI,University of Wisconsin–Madison,Neuroscience (HHMI),,1,0.1,1,2016;2017;2019;2020;2021;2022;2023;2024;2025,2,3,33,,,established,person_cns(name),0,0,1,0,0,0,0,0,0,0
Robert B. Darnell,HHMI,The Rockefeller University,Neuroscience (HHMI),,1,0.1,1,2016;2018;2019;2020;2021;2022;2023;2024;2025,3,6,34,,,established,person_cns(name),0,1,0,0,0,0,0,0,0,0
Jeremy Nathans,HHMI,The Johns Hopkins University,Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,11,33,,,established,person_cns(name),0,0,0,0,0,0,0,0,0,0
Elizabeth C. Engle,HHMI,Boston Children's Hospital,Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,26,,,established,person_cns(name),0,0,0,0,0,0,0,0,0,0
Erik M. Jorgensen,HHMI,The University of Utah,Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2,1,19,,,established,person_cns(name),0,0,0,0,0,0,0,0,0,0
Albert Lee,HHMI,Beth Israel Deaconess Medical Center,Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,17,,,established,person_cns(affil),0,0,0,0,0,0,0,0,0,0
Pietro De Camilli,HHMI,Yale University,Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,49,,,established,person_cns(name),0,0,0,0,0,0,0,0,0,0
Michael N. Shadlen,HHMI,Columbia University,Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,5,6,21,,,established,person_cns(name),0,0,0,0,0,0,0,0,0,0
Tzumin Lee,HHMI,University of Michigan,Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,1,0,,,established,person_cns(affil),0,0,0,0,0,0,0,0,0,0
Diana Bautista,HHMI,"University of California, Berkeley",Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,2,11,,,established,person_cns(name),0,0,0,0,0,0,0,0,0,0
Constance L. Cepko,HHMI,Harvard Medical School,Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,7,36,,,established,person_cns(name),0,0,0,0,0,0,0,0,0,0
